branch	metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	se	lower	upper	p_OLS	se_HC3	lower_HC3	upper_HC3	p_HC3	p_exact_permutation	df	permutation_assignments	BH_two_main
author_annotated::v31_only::threshold10	delta_ct_logit_all	15	6	9	0.6411601147019039	-0.1553314343049546	0.7964915490068585	0.5424275374239761	-0.3753519012461972	1.9683349992599142	0.16577738629522143	0.5727366658805776	-0.4408307923685435	2.0338138903822607	0.18767130487548914	0.16663336663336664	13	5005	
author_annotated::v31_only::threshold10	delta_ct_state_score	14	6	8	1.7682529633038904	-0.23198336908503742	2.0002363323889276	1.188181014247178	-0.5885877054198438	4.589060370197699	0.11810133306291092	1.1436803195274003	-0.49162902083528737	4.492101685613143	0.10580747016115986	0.11921411921411922	12	3003	
author_annotated::v31_only::threshold10	delta_epi_score	15	6	9	1.187946799018172	-0.18298137593765246	1.3709281749558244	0.869217551102723	-0.506902178093843	3.248758528005492	0.13876430136756396	0.7736743617655746	-0.30049366651137754	3.0423500164230264	0.0998213174276795	0.13886113886113885	13	5005	
author_annotated::v31_only::threshold10	composition_contribution	14	6	8	-0.10767547275260365	0.07587265751042549	-0.18354813026302913	0.1420960494782977	-0.4931488259113735	0.12605256538531523	0.22077948405212647	0.14644509151489724	-0.5026245744974787	0.13552831397142034	0.23394597708176287	0.21645021645021645	12	3003	
author_annotated::v31_only::threshold10	within_state_contribution	14	6	8	0.6905227643292752	-0.38807121543360734	1.0785939797628825	0.6433694107254044	-0.3231875465410732	2.480375506066838	0.11948074393760305	0.6255740674552603	-0.28441482431575094	2.4416027838415157	0.11031744899521938	0.11921411921411922	12	3003	
author_annotated::v31_only::threshold10	total_epi_linear_change	14	6	8	0.5828472915766717	-0.31219855792318185	0.8950458494998536	0.7064299047988241	-0.6441326903364232	2.4342243893361304	0.22919370445041198	0.6861575336156664	-0.5999629879147831	2.3900546869144903	0.21655037293413884	0.22677322677322678	12	3003	
author_annotated::v31_only::threshold20	delta_ct_logit_epi	15	6	9	-0.13880709601311528	0.08179922487234031	-0.2206063208854556	0.2758416603216776	-0.816525997991064	0.3753133562201527	0.4382217100704669	0.3095355269345655	-0.889317171336585	0.4481045295656738	0.4886264753729757	0.43396603396603395	13	5005	
author_annotated::v31_only::threshold20	delta_ct_logit_all	15	6	9	0.6411601147019039	-0.1553314343049546	0.7964915490068585	0.5424275374239761	-0.3753519012461972	1.9683349992599142	0.16577738629522143	0.5727366658805776	-0.4408307923685435	2.0338138903822607	0.18767130487548914	0.16663336663336664	13	5005	
author_annotated::v31_only::threshold20	delta_ct_state_score	13	6	7	1.7682529633038904	-0.9913198819126077	2.759572845216498	0.6800209713249596	1.26285677877916	4.2562889116538365	0.0018894024873997819	0.7300604401402905	1.1527206504977485	4.3664250399352476	0.003047479577017817	0.0011655011655011655	11	1716	
author_annotated::v31_only::threshold20	delta_epi_score	15	6	9	1.187946799018172	-0.18298137593765246	1.3709281749558244	0.869217551102723	-0.506902178093843	3.248758528005492	0.13876430136756396	0.7736743617655746	-0.30049366651137754	3.0423500164230264	0.0998213174276795	0.13886113886113885	13	5005	
author_annotated::v31_only::threshold20	composition_contribution	13	6	7	-0.10767547275260365	-0.028532295042953515	-0.07914317770965014	0.20219925412457118	-0.5241807354194294	0.36589438000012914	0.7029684993345973	0.20775711808346073	-0.5364135115147535	0.3781271560954532	0.7105016581374258	0.7173659673659674	11	1716	
author_annotated::v31_only::threshold20	within_state_contribution	13	6	7	0.6905227643292752	-0.8640854165905968	1.554608180919872	0.595256635723104	0.24445715924724554	2.8647592025924986	0.024185774229209554	0.614090143812758	0.20300488742945144	2.9062114744102923	0.027895688443295784	0.03205128205128205	11	1716	
author_annotated::v31_only::threshold20	total_epi_linear_change	13	6	7	0.5828472915766717	-0.8926177116335501	1.4754650032102217	0.7041414722106719	-0.07433992773054632	3.0252699341509897	0.060075739392230855	0.7223348948376264	-0.11438338094374845	3.065313387364192	0.06580521354448436	0.06293706293706294	11	1716	
author_annotated::v31_only::threshold50	delta_ct_logit_epi	15	6	9	-0.13880709601311528	0.08179922487234031	-0.2206063208854556	0.2758416603216776	-0.816525997991064	0.3753133562201527	0.4382217100704669	0.3095355269345655	-0.889317171336585	0.4481045295656738	0.4886264753729757	0.43396603396603395	13	5005	
