set	contrast	estimate	se	lower	upper	p
HALLMARK_APICAL_SURFACE	pooled_response_arm_adjusted	-0.0214916003878631	0.0218243073171095	-0.0651177690937481	0.0221345683180219	0.32857175955035
HALLMARK_APICAL_SURFACE	arm_response_interaction	-0.0326756584379229	0.0463752279886343	-0.125408658083514	0.0600573412076676	0.483745095821526
HALLMARK_APOPTOSIS	Placebo_within_change	-0.0222813606751466	0.01963075463632	-0.0629930540180427	0.0184303326677495	0.268580959244445
HALLMARK_APOPTOSIS	Placebo_response_difference	-0.0507458082404144	0.0407074307870507	-0.135401544888459	0.03390992840763	0.226271271642534
HALLMARK_APOPTOSIS	golimumab_within_change	-0.0463899752508647	0.0202910203459396	-0.0873685221715493	-0.00541142833018014	0.027478079124924
HALLMARK_APOPTOSIS	golimumab_response_difference	-0.0343009760026544	0.0411561523211184	-0.117480662618563	0.0488787106132544	0.409548742210542
HALLMARK_APOPTOSIS	GLM_minus_Placebo	-0.0241086145757182	0.0282328183904961	-0.0806151086597801	0.0323978795083438	0.396639369172718
HALLMARK_APOPTOSIS	pooled_response_arm_adjusted	-0.0398352945442083	0.0302471524558143	-0.100298490774747	0.0206279016863307	0.192687949657906
HALLMARK_APOPTOSIS	arm_response_interaction	0.01644483223776	0.0644998814431567	-0.112530651925354	0.145420316400874	0.799612321043241
HALLMARK_BILE_ACID_METABOLISM	Placebo_within_change	0.0604581321169772	0.0274785752005631	0.00347105506415397	0.1174452091698	0.038591287289931
HALLMARK_BILE_ACID_METABOLISM	Placebo_response_difference	-0.0189612805059524	0.0589066568017725	-0.141464379537541	0.103541818525636	0.750720597417993
HALLMARK_BILE_ACID_METABOLISM	golimumab_within_change	0.00969089462868481	0.0184190082519	-0.0275070471709249	0.0468888364282946	0.601628691053738
HALLMARK_BILE_ACID_METABOLISM	golimumab_response_difference	0.0352168506117725	0.0372684615869501	-0.040105519936187	0.110539221159732	0.350357478291514
HALLMARK_BILE_ACID_METABOLISM	GLM_minus_Placebo	-0.0507672374882924	0.0330806886270005	-0.117541272698195	0.0160067977216102	0.132424315281286
HALLMARK_BILE_ACID_METABOLISM	pooled_response_arm_adjusted	0.0169838257163843	0.0316327689933766	-0.0462491785062722	0.0802168299390407	0.593254081347791
HALLMARK_BILE_ACID_METABOLISM	arm_response_interaction	0.0541781311177249	0.067133106086135	-0.0800628111460781	0.188419073381528	0.422787327461718
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Placebo_within_change	0.0125706485341804	0.0279007693637155	-0.045292005623031	0.0704333026913917	0.656723922955689
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Placebo_response_difference	-0.0475100762303399	0.0590559673032334	-0.170323683447929	0.0753035309872495	0.430126760339801
HALLMARK_CHOLESTEROL_HOMEOSTASIS	golimumab_within_change	0.00294051315503371	0.0226875289940723	-0.042877881166572	0.0487589074766394	0.897509379980537
HALLMARK_CHOLESTEROL_HOMEOSTASIS	golimumab_response_difference	-0.0254817500634196	0.0462396074906055	-0.118935482820104	0.0679719826932647	0.584643677055302
HALLMARK_CHOLESTEROL_HOMEOSTASIS	GLM_minus_Placebo	-0.00963013537914667	0.0359607689426147	-0.0818894841516819	0.0626292133933886	0.789976742637317
HALLMARK_CHOLESTEROL_HOMEOSTASIS	pooled_response_arm_adjusted	-0.0328951290619024	0.0362558691572206	-0.105369578832475	0.0395793207086705	0.367758580189395
HALLMARK_CHOLESTEROL_HOMEOSTASIS	arm_response_interaction	0.0220283261669204	0.0773027859595112	-0.132548147823534	0.176604800157375	0.776638819404835
HALLMARK_COAGULATION	Placebo_within_change	-0.0263268105440034	0.0250153352002783	-0.078205440500452	0.0255518194124453	0.304026545901507
HALLMARK_COAGULATION	Placebo_response_difference	-0.0583456001552794	0.052228782443109	-0.166961299217239	0.05027009890668	0.276563352729052
HALLMARK_COAGULATION	golimumab_within_change	-0.0684430974563739	0.0201736266113668	-0.109184562920416	-0.0277016319923322	0.00154461743478644
HALLMARK_COAGULATION	golimumab_response_difference	-0.0809484922072694	0.0392370280453198	-0.160249483978422	-0.00164750043611647	0.0456393177188744
HALLMARK_COAGULATION	GLM_minus_Placebo	-0.0421162869123705	0.0321363066614247	-0.106702058656086	0.0224694848313448	0.196139338106769
HALLMARK_COAGULATION	pooled_response_arm_adjusted	-0.0733417496897728	0.0311732246311971	-0.135656137821619	-0.0110273615579264	0.0218248986389271
HALLMARK_COAGULATION	arm_response_interaction	-0.0226028920519899	0.0664470813843407	-0.155472043142196	0.110266259038216	0.734901787520641
HALLMARK_COMPLEMENT	Placebo_within_change	-0.0581621858695652	0.0258516522527423	-0.111775231237348	-0.00454914050178255	0.0347947484860085
HALLMARK_COMPLEMENT	Placebo_response_difference	-0.0716975729017857	0.0533069227263755	-0.182555387423385	0.0391602416198134	0.19297330227246
HALLMARK_COMPLEMENT	golimumab_within_change	-0.0948042237244898	0.0259094503708698	-0.147129420270079	-0.0424790271789008	0.000715373518862887
HALLMARK_COMPLEMENT	golimumab_response_difference	-0.106335700834987	0.0502691414277313	-0.2079334254664	-0.00473797620357351	0.0406788047064806
HALLMARK_COMPLEMENT	GLM_minus_Placebo	-0.0366420378549246	0.0366006494849105	-0.109923969598595	0.0366398938887462	0.320969286484133
HALLMARK_COMPLEMENT	pooled_response_arm_adjusted	-0.0946786385497748	0.0375484391174456	-0.16973689885461	-0.0196203782449392	0.0142695922478332
HALLMARK_COMPLEMENT	arm_response_interaction	-0.034638127933201	0.0799891497672065	-0.194586318351399	0.125310062484997	0.666516450540856
