branch	contrast	gene	estimate_independent	estimate_exported	residual_sd_independent	residual_sd_fit	p_from_stored_moderated_variance	p_exported
primary_paired	response_difference_interaction	ZZZ3	0.0305583333333337	0.0305583333333337	0.271734351905431	0.271734351905431	0.836305928683542	0.836305928683542
barcode_sensitivity	GLM_change	A1BG	-0.17534994869028	-0.17534994869028	0.349725510654657	0.349725510654657	0.00244985202321871	0.00244985202321871
barcode_sensitivity	GLM_change	C1orf111	0.0142834633532936	0.0142834633532936	0.245842613010397	0.245842613010397	0.720802645927839	0.720802645927839
barcode_sensitivity	GLM_change	CTNNA2	0.0848918681754119	0.0848918681754119	0.333611117870199	0.333611117870199	0.114788947018355	0.114788947018355
barcode_sensitivity	GLM_change	FDXR	-0.144194472467432	-0.144194472467432	0.431396940155092	0.431396940155092	0.0381212346744438	0.0381212346744438
barcode_sensitivity	GLM_change	IFT88	0.0575893789957446	0.0575893789957446	0.316009226514705	0.316009226514705	0.257524344158601	0.257524344158601
barcode_sensitivity	GLM_change	LOC100130429	0.0415229013811803	0.0415229013811803	0.45605434835501	0.45605434835501	0.565496505535305	0.565496505535305
barcode_sensitivity	GLM_change	MALSU1	0.0023610779296669	0.0023610779296669	0.230962543366162	0.230962543366162	0.950078184390992	0.950078184390992
barcode_sensitivity	GLM_change	OR10A5	-0.0425963437951611	-0.0425963437951611	0.276195628942322	0.276195628942322	0.340607121031573	0.340607121031573
barcode_sensitivity	GLM_change	RAB9A	0.0824601487385024	0.0824601487385024	0.574700292760475	0.574700292760475	0.364063896493074	0.364063896493074
barcode_sensitivity	GLM_change	SMG1	0.0951214033401197	0.0951214033401197	0.560290158585071	0.560290158585071	0.283657728794321	0.283657728794322
barcode_sensitivity	GLM_change	TRAPPC6B	0.0667501696411855	0.0667501696411855	0.311226263319682	0.311226263319682	0.183845158674575	0.183845158674575
barcode_sensitivity	GLM_change	ZZZ3	0.152086220316132	0.152086220316132	0.248081365015085	0.248081365015085	0.000339825190217007	0.000339825190217008
barcode_sensitivity	Placebo_change	A1BG	-0.10309427635799	-0.10309427635799	0.349725510654657	0.349725510654657	0.173089169866307	0.173089169866307
barcode_sensitivity	Placebo_change	C1orf111	-0.0630102774469725	-0.0630102774469725	0.245842613010397	0.245842613010397	0.244124886281193	0.244124886281193
barcode_sensitivity	Placebo_change	CTNNA2	-0.0155031328922388	-0.0155031328922388	0.333611117870199	0.333611117870199	0.829042321525378	0.829042321525378
barcode_sensitivity	Placebo_change	FDXR	-0.0593314296219957	-0.0593314296219957	0.431396940155092	0.431396940155092	0.519932105503239	0.519932105503239
barcode_sensitivity	Placebo_change	IFT88	0.0841705597420058	0.0841705597420058	0.316009226514705	0.316009226514705	0.219627340544865	0.219627340544865
barcode_sensitivity	Placebo_change	LOC100130429	0.0461577547101065	0.0461577547101065	0.45605434835501	0.45605434835501	0.635144054393158	0.635144054393158
barcode_sensitivity	Placebo_change	MALSU1	0.0496363433523715	0.0496363433523715	0.230962543366162	0.230962543366162	0.330306030012411	0.330306030012411
barcode_sensitivity	Placebo_change	OR10A5	-0.111040944178136	-0.111040944178136	0.276195628942322	0.276195628942322	0.0677910200533898	0.0677910200533899
barcode_sensitivity	Placebo_change	RAB9A	0.0864512326463665	0.0864512326463665	0.574700292760475	0.574700292760475	0.479317473636558	0.479317473636558
barcode_sensitivity	Placebo_change	SMG1	-0.044055100089829	-0.044055100089829	0.560290158585071	0.560290158585071	0.711262073719498	0.711262073719498
barcode_sensitivity	Placebo_change	TRAPPC6B	0.0262019454944386	0.0262019454944386	0.311226263319682	0.311226263319682	0.696656838535528	0.696656838535528
barcode_sensitivity	Placebo_change	ZZZ3	0.0754709255012516	0.0754709255012516	0.248081365015085	0.248081365015085	0.167482599150608	0.167482599150608
barcode_sensitivity	GLM_minus_Placebo	A1BG	-0.0722556723322898	-0.0722556723322898	0.349725510654657	0.349725510654657	0.449454467955399	0.449454467955399
barcode_sensitivity	GLM_minus_Placebo	C1orf111	0.0772937408002662	0.0772937408002662	0.245842613010397	0.245842613010397	0.260036020794771	0.260036020794771
barcode_sensitivity	GLM_minus_Placebo	CTNNA2	0.100395001067651	0.100395001067651	0.333611117870199	0.333611117870199	0.272725966056321	0.272725966056321
barcode_sensitivity	GLM_minus_Placebo	FDXR	-0.0848630428454366	-0.0848630428454366	0.431396940155092	0.431396940155092	0.468495587662094	0.468495587662094
barcode_sensitivity	GLM_minus_Placebo	IFT88	-0.0265811807462612	-0.0265811807462612	0.316009226514705	0.316009226514705	0.758676612338068	0.758676612338068
barcode_sensitivity	GLM_minus_Placebo	LOC100130429	-0.00463485332892624	-0.00463485332892624	0.45605434835501	0.45605434835501	0.970022498566328	0.970022498566328
barcode_sensitivity	GLM_minus_Placebo	MALSU1	-0.0472752654227046	-0.0472752654227046	0.230962543366162	0.230962543366162	0.464252895227499	0.464252895227499
barcode_sensitivity	GLM_minus_Placebo	OR10A5	0.0684446003829753	0.0684446003829753	0.276195628942322	0.276195628942322	0.370123540083994	0.370123540083994
barcode_sensitivity	GLM_minus_Placebo	RAB9A	-0.00399108390786415	-0.00399108390786415	0.574700292760475	0.574700292760475	0.979427406208088	0.979427406208088
barcode_sensitivity	GLM_minus_Placebo	SMG1	0.139176503429949	0.139176503429949	0.560290158585071	0.560290158585071	0.358146956989817	0.358146956989817
barcode_sensitivity	GLM_minus_Placebo	TRAPPC6B	0.0405482241467469	0.0405482241467469	0.311226263319682	0.311226263319682	0.634599381774622	0.634599381774622
barcode_sensitivity	GLM_minus_Placebo	ZZZ3	0.0766152948148806	0.0766152948148806	0.248081365015085	0.248081365015085	0.268180928491091	0.268180928491091
barcode_sensitivity	GLM_response_difference	A1BG	-0.118770447847061	-0.118770447847061	0.352329012725614	0.352329012725614	0.286332651807341	0.286332651807341
barcode_sensitivity	GLM_response_difference	C1orf111	0.155349951152479	0.155349951152479	0.241046808928799	0.241046808928799	0.0485813181081623	0.0485813181081623
barcode_sensitivity	GLM_response_difference	CTNNA2	-0.0740108967209562	-0.0740108967209562	0.337186757240096	0.337186757240096	0.487127140248233	0.487127140248233
barcode_sensitivity	GLM_response_difference	FDXR	-0.188290109543809	-0.188290109543809	0.429722750960568	0.429722750960567	0.164493679352852	0.164493679352852
barcode_sensitivity	GLM_response_difference	IFT88	0.011593918377121	0.011593918377121	0.319595692718847	0.319595692718847	0.908605777479335	0.908605777479335
barcode_sensitivity	GLM_response_difference	LOC100130429	-0.0408605740605254	-0.0408605740605254	0.461485870882931	0.461485870882931	0.776741014258268	0.776741014258268
barcode_sensitivity	GLM_response_difference	MALSU1	-0.0284089557069578	-0.0284089557069578	0.232474742347445	0.232474742347445	0.704901020701599	0.704901020701599
barcode_sensitivity	GLM_response_difference	OR10A5	0.0108553846218386	0.0108553846218386	0.275544360539897	0.275544360539897	0.901571651095249	0.901571651095249
barcode_sensitivity	GLM_response_difference	RAB9A	0.0167725640412627	0.0167725640412627	0.58145026403387	0.58145026403387	0.926057613626526	0.926057613626526
barcode_sensitivity	GLM_response_difference	SMG1	0.216251289341331	0.216251289341331	0.560131392948057	0.560131392948057	0.217338738013456	0.217338738013456
barcode_sensitivity	GLM_response_difference	TRAPPC6B	0.0520862863714507	0.0520862863714507	0.315327095273487	0.315327095273487	0.601793923820303	0.601793923820303
barcode_sensitivity	GLM_response_difference	ZZZ3	0.0387456851637946	0.0387456851637946	0.251816862238307	0.251816862238307	0.63145071136216	0.63145071136216
barcode_sensitivity	Placebo_response_difference	A1BG	0.00620989948547343	0.00620989948547343	0.352329012725614	0.352329012725614	0.967932366153369	0.967932366153369
barcode_sensitivity	Placebo_response_difference	C1orf111	0.0558671228408064	0.0558671228408064	0.241046808928799	0.241046808928799	0.605280642370031	0.605280642370031
barcode_sensitivity	Placebo_response_difference	CTNNA2	-0.0798394348789254	-0.0798394348789254	0.337186757240096	0.337186757240096	0.590248439688708	0.590248439688708
barcode_sensitivity	Placebo_response_difference	FDXR	0.137904371540578	0.137904371540578	0.429722750960568	0.429722750960567	0.462329146104887	0.462329146104887
barcode_sensitivity	Placebo_response_difference	IFT88	0.115886030640603	0.115886030640603	0.319595692718847	0.319595692718847	0.41144893129408	0.41144893129408
barcode_sensitivity	Placebo_response_difference	LOC100130429	-0.150902147292734	-0.150902147292734	0.461485870882931	0.461485870882931	0.453146560066093	0.453146560066093
barcode_sensitivity	Placebo_response_difference	MALSU1	0.106603070913122	0.106603070913122	0.232474742347445	0.232474742347445	0.309502661746913	0.309502661746913
barcode_sensitivity	Placebo_response_difference	OR10A5	0.183490128847161	0.183490128847161	0.275544360539897	0.275544360539897	0.137044440382993	0.137044440382993
barcode_sensitivity	Placebo_response_difference	RAB9A	-0.203692547245393	-0.203692547245393	0.58145026403387	0.58145026403387	0.419766234692974	0.419766234692974
barcode_sensitivity	Placebo_response_difference	SMG1	-0.180165133297546	-0.180165133297546	0.560131392948057	0.560131392948057	0.458879878449214	0.458879878449214
barcode_sensitivity	Placebo_response_difference	TRAPPC6B	0.0640147011801006	0.0640147011801006	0.315327095273487	0.315327095273487	0.645201361737347	0.645201361737347
barcode_sensitivity	Placebo_response_difference	ZZZ3	-0.0177272084677653	-0.0177272084677653	0.251816862238307	0.251816862238307	0.874723046126418	0.874723046126418
barcode_sensitivity	response_difference_interaction	A1BG	-0.124980347332534	-0.124980347332534	0.352329012725614	0.352329012725614	0.50902586348051	0.50902586348051
barcode_sensitivity	response_difference_interaction	C1orf111	0.0994828283116721	0.0994828283116721	0.241046808928799	0.241046808928799	0.452324717353057	0.452324717353057
barcode_sensitivity	response_difference_interaction	CTNNA2	0.00582853815796917	0.00582853815796917	0.337186757240096	0.337186757240096	0.97432847509309	0.97432847509309
barcode_sensitivity	response_difference_interaction	FDXR	-0.326194481084387	-0.326194481084387	0.429722750960568	0.429722750960567	0.157670311225329	0.157670311225329
barcode_sensitivity	response_difference_interaction	IFT88	-0.104292112263482	-0.104292112263482	0.319595692718847	0.319595692718847	0.545081789344257	0.545081789344257
barcode_sensitivity	response_difference_interaction	LOC100130429	0.110041573232208	0.110041573232208	0.461485870882931	0.461485870882931	0.654183995712393	0.654183995712393
barcode_sensitivity	response_difference_interaction	MALSU1	-0.135012026620079	-0.135012026620079	0.232474742347445	0.232474742347445	0.292778071628385	0.292778071628385
barcode_sensitivity	response_difference_interaction	OR10A5	-0.172634744225322	-0.172634744225322	0.275544360539897	0.275544360539897	0.250943329411181	0.250943329411181
barcode_sensitivity	response_difference_interaction	RAB9A	0.220465111286656	0.220465111286656	0.58145026403387	0.58145026403387	0.474964542308815	0.474964542308815
barcode_sensitivity	response_difference_interaction	SMG1	0.396416422638877	0.396416422638877	0.560131392948057	0.560131392948057	0.184887753137234	0.184887753137234
barcode_sensitivity	response_difference_interaction	TRAPPC6B	-0.0119284148086499	-0.0119284148086499	0.315327095273487	0.315327095273487	0.944025668551016	0.944025668551016
barcode_sensitivity	response_difference_interaction	ZZZ3	0.05647289363156	0.05647289363156	0.251816862238307	0.251816862238307	0.681498843686009	0.681498843686009
