branch	metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	se	lower	upper	p_OLS	se_HC3	lower_HC3	upper_HC3	p_HC3	p_exact_permutation	BH_two_main
exclude_predicted_doublets::v31_only::threshold20	delta_ct_logit_epi	15	6	9	-0.138807096013115	0.0817992248723403	-0.220606320885455	0.275841660321678	-0.816525997991064	0.375313356220153	0.438221710070467	0.309535526934566	-0.889317171336585	0.448104529565674	0.488626475372976	0.433966033966034	NA
exclude_predicted_doublets::v31_only::threshold20	delta_ct_logit_all	15	6	9	0.641160114701904	-0.155331434304955	0.796491549006859	0.542427537423976	-0.375351901246197	1.96833499925991	0.165777386295221	0.572736665880578	-0.440830792368544	2.03381389038226	0.187671304875489	0.166633366633367	NA
exclude_predicted_doublets::v31_only::threshold20	delta_ct_state_score	13	6	7	1.76825296330389	-0.991319881912608	2.7595728452165	0.68002097132496	1.26285677877916	4.25628891165384	0.00188940248739978	0.730060440140291	1.15272065049775	4.36642503993525	0.00304747957701782	0.00116550116550117	NA
exclude_predicted_doublets::v31_only::threshold20	delta_epi_score	15	6	9	1.18794679901817	-0.182981375937653	1.37092817495582	0.869217551102723	-0.506902178093844	3.24875852800549	0.138764301367564	0.773674361765575	-0.300493666511378	3.04235001642303	0.0998213174276798	0.138861138861139	NA
exclude_predicted_doublets::v31_only::threshold20	composition_contribution	13	6	7	-0.107675472752604	-0.0285322950429535	-0.0791431777096501	0.202199254124571	-0.524180735419429	0.365894380000129	0.702968499334597	0.207757118083461	-0.536413511514753	0.378127156095453	0.710501658137426	0.717365967365967	NA
exclude_predicted_doublets::v31_only::threshold20	within_state_contribution	13	6	7	0.690522764329275	-0.864085416590597	1.55460818091987	0.595256635723104	0.244457159247245	2.8647592025925	0.0241857742292096	0.614090143812758	0.203004887429451	2.90621147441029	0.0278956884432958	0.032051282051282	NA
exclude_predicted_doublets::v31_only::threshold20	total_epi_linear_change	13	6	7	0.582847291576672	-0.89261771163355	1.47546500321022	0.704141472210672	-0.0743399277305468	3.02526993415099	0.0600757393922309	0.722334894837627	-0.114383380943749	3.06531338736419	0.0658052135444845	0.0629370629370629	NA
exclude_predicted_doublets::author_both::threshold20	delta_ct_logit_epi	17	4	13	-0.104927989517946	0.0387587810426561	-0.143686770560602	0.362770642479234	-0.916914091615393	0.62954055049419	0.697621847899886	0.460229171709215	-1.12464202945356	0.837268488332357	0.759181181594009	0.689915966386555	NA
exclude_predicted_doublets::author_both::threshold20	delta_ct_logit_all	17	4	13	1.241121750238	-0.186169190036442	1.42729094027444	0.533411865764756	0.29035046139396	2.56423141915492	0.0172772824124371	0.338939238740244	0.704859053889171	2.14972282665971	0.00075584384650148	0.0151260504201681	NA
exclude_predicted_doublets::author_both::threshold20	delta_ct_state_score	14	4	10	2.15378790342954	-0.632156414305491	2.78594431773503	0.722107160917616	1.21260797113315	4.35928066433691	0.00227656623850274	0.809029870558618	1.0232196561779	4.54866897929216	0.00486240587189087	0.002997002997003	NA
exclude_predicted_doublets::author_both::threshold20	delta_epi_score	17	4	13	1.42902691815383	-0.124344992358635	1.55337191051247	0.951687588170379	-0.475102166808167	3.5818459878331	0.123442164932479	0.634490117428422	0.200988238057487	2.90575558296744	0.0271360411403383	0.12563025210084	NA
exclude_predicted_doublets::author_both::threshold20	composition_contribution	14	4	10	-0.0813119128265555	-0.0063345149454769	-0.0749773978810786	0.302282991216853	-0.733595457334544	0.583640661572386	0.808299271878394	0.244868736282054	-0.60850054207682	0.458545746314662	0.764704076450678	0.816183816183816	NA
exclude_predicted_doublets::author_both::threshold20	within_state_contribution	14	4	10	0.599214064395833	-0.499481358757352	1.09869542315319	0.650084526971696	-0.317717084580897	2.51510793088727	0.116800460184013	0.591146066187111	-0.189301210062605	2.38669205636897	0.0877758288364946	0.117882117882118	NA
exclude_predicted_doublets::author_both::threshold20	total_epi_linear_change	14	4	10	0.517902151569278	-0.505815873702829	1.02371802527211	0.688691564510522	-0.476811991167014	2.52424804171123	0.162950213503194	0.63770161294777	-0.365714430517979	2.41315048106219	0.134401113387711	0.160839160839161	NA
exclude_predicted_doublets::all_fixed::threshold50	delta_ct_logit_epi	19	6	13	-0.138807096013115	0.0494265088163854	-0.188233604829501	0.268984910306025	-0.75574215879525	0.379274949136249	0.493522579959731	0.299240074941032	-0.819574976452098	0.443107766793097	0.537685453440656	0.490269792127377	NA
exclude_predicted_doublets::all_fixed::threshold50	delta_ct_logit_all	19	6	13	0.641160114701904	-0.213685548462615	0.854845663164519	0.473906372723356	-0.145009384441699	1.85470071077074	0.0890078963268678	0.511777686800761	-0.224910872835226	1.93460219916426	0.113158172123674	0.0896358543417367	NA
exclude_predicted_doublets::all_fixed::threshold50	delta_ct_state_score	13	5	8	1.39697983792111	-0.675065646149577	2.07204548407068	0.694786806687955	0.542830033123038	3.60126093501833	0.0124686920152141	0.800128376630611	0.310974800938497	3.83311616720287	0.0251542979078246	0.0124320124320124	NA
exclude_predicted_doublets::all_fixed::threshold50	delta_epi_score	19	6	13	1.18794679901817	-0.165930470759807	1.35387726977798	0.764696675430682	-0.259491688363022	2.96724622791898	0.0945768444746323	0.588132304777726	0.113026571330918	2.59472796822504	0.0342503819736928	0.0944641014300457	NA
exclude_predicted_doublets::all_fixed::threshold50	composition_contribution	13	5	8	-0.04820499756004	0.0432278266648802	-0.0914328242249201	0.210649631638882	-0.55506953744087	0.372203888991029	0.672641664514782	0.18798830613936	-0.505192296308416	0.322326647858576	0.636246389098006	0.708624708624709	NA
exclude_predicted_doublets::all_fixed::threshold50	within_state_contribution	13	5	8	0.590821543329199	-0.745118893969917	1.33594043729912	0.619791468963477	-0.0282113882408945	2.70009226283913	0.0541296070999974	0.599786640607595	0.0158189421005832	2.65606193249765	0.0477465425537094	0.0606060606060606	NA
exclude_predicted_doublets::all_fixed::threshold50	total_epi_linear_change	13	5	8	0.542616545769159	-0.701891067305037	1.2445076130742	0.707909752886044	-0.313591247712126	2.80260647386052	0.106501140675075	0.683016206235825	-0.258800920952944	2.74781614710134	0.0957180879054661	0.10955710955711	NA
exclude_predicted_doublets::v31_only::threshold50	delta_ct_logit_epi	15	6	9	-0.138807096013115	0.0817992248723403	-0.220606320885455	0.275841660321678	-0.816525997991064	0.375313356220153	0.438221710070467	0.309535526934566	-0.889317171336585	0.448104529565674	0.488626475372976	0.433966033966034	NA
exclude_predicted_doublets::v31_only::threshold50	delta_ct_logit_all	15	6	9	0.641160114701904	-0.155331434304955	0.796491549006859	0.542427537423976	-0.375351901246197	1.96833499925991	0.165777386295221	0.572736665880578	-0.440830792368544	2.03381389038226	0.187671304875489	0.166633366633367	NA
exclude_predicted_doublets::v31_only::threshold50	delta_ct_state_score	10	5	5	1.39697983792111	-0.891884363358212	2.28886420127932	0.841192650760333	0.349070470122637	4.228657932436	0.0262091514604873	0.940481974636672	0.120108878682173	4.45761952387646	0.0409642130824551	0.0317460317460317	NA
exclude_predicted_doublets::v31_only::threshold50	delta_epi_score	15	6	9	1.18794679901817	-0.182981375937653	1.37092817495582	0.869217551102723	-0.506902178093844	3.24875852800549	0.138764301367564	0.773674361765575	-0.300493666511378	3.04235001642303	0.0998213174276798	0.138861138861139	NA
exclude_predicted_doublets::v31_only::threshold50	composition_contribution	10	5	5	-0.04820499756004	-0.0383074711054256	-0.00989752645461433	0.24518434292292	-0.575293635122184	0.555498582212956	0.968789240604735	0.274124428897134	-0.642029593051886	0.622234540142658	0.97208254277582	0.984126984126984	NA
exclude_predicted_doublets::v31_only::threshold50	within_state_contribution	10	5	5	0.590821543329199	-0.816658555118096	1.40748009844729	0.750412646721183	-0.322974568001255	3.13793476489584	0.097562234688929	0.838986844622049	-0.527227034633046	3.34218723152764	0.131946943831204	0.111111111111111	NA
exclude_predicted_doublets::v31_only::threshold50	total_epi_linear_change	10	5	5	0.542616545769159	-0.854966026223522	1.39758257199268	0.881965039388685	-0.636232455943132	3.43139759992849	0.151711427101704	0.986066890925689	-0.876291756069874	3.67145690005523	0.194134155815975	0.158730158730159	NA
exclude_predicted_doublets::author_both::threshold50	delta_ct_logit_epi	17	4	13	-0.104927989517946	0.0387587810426561	-0.143686770560602	0.362770642479234	-0.916914091615393	0.62954055049419	0.697621847899886	0.460229171709215	-1.12464202945356	0.837268488332357	0.759181181594009	0.689915966386555	NA
exclude_predicted_doublets::author_both::threshold50	delta_ct_logit_all	17	4	13	1.241121750238	-0.186169190036442	1.42729094027444	0.533411865764756	0.29035046139396	2.56423141915492	0.0172772824124371	0.338939238740244	0.704859053889171	2.14972282665971	0.00075584384650148	0.0151260504201681	NA
exclude_predicted_doublets::author_both::threshold50	delta_ct_state_score	11	3	8	1.96769783901493	-0.480218348307215	2.44791618732214	0.826085041122261	0.579181994466972	4.31665038017732	0.0158748776828599	1.089274042257	-0.0161928896196906	4.91202526426398	0.0512294577108087	0.0181818181818182	NA
exclude_predicted_doublets::author_both::threshold50	delta_epi_score	17	4	13	1.42902691815383	-0.124344992358635	1.55337191051247	0.951687588170379	-0.475102166808167	3.5818459878331	0.123442164932479	0.634490117428422	0.200988238057487	2.90575558296744	0.0271360411403383	0.12563025210084	NA
exclude_predicted_doublets::author_both::threshold50	composition_contribution	11	3	8	0.036818033515606	-0.00689455496015287	0.0437125884757589	0.379919854108276	-0.815725830784526	0.903151007736043	0.910925753236408	0.262434838191295	-0.549956260506467	0.637381437457984	0.871394024869243	0.909090909090909	NA
exclude_predicted_doublets::author_both::threshold50	within_state_contribution	11	3	8	0.469007736338612	-0.378688555878728	0.84769629221734	0.794792280819942	-0.950248758776214	2.64564134321089	0.313942990621788	0.776498728997792	-0.908865869488717	2.6042584539234	0.303330234142377	0.309090909090909	NA
exclude_predicted_doublets::author_both::threshold50	total_epi_linear_change	11	3	8	0.505825769854218	-0.385583110838881	0.891408880693099	0.826917825866715	-0.979209202136808	2.76202696352301	0.309081834247421	0.867334317797849	-1.070637658854	2.8534554202402	0.330892636801741	0.327272727272727	NA
author_annotated::all_fixed::threshold10	delta_ct_logit_epi	19	6	13	-0.138807096013115	0.0494265088163854	-0.188233604829501	0.268984910306025	-0.75574215879525	0.379274949136249	0.493522579959731	0.299240074941032	-0.819574976452098	0.443107766793097	0.537685453440656	0.490269792127377	NA
author_annotated::all_fixed::threshold10	delta_ct_logit_all	19	6	13	0.641160114701904	-0.213685548462615	0.854845663164519	0.473906372723356	-0.145009384441699	1.85470071077074	0.0890078963268678	0.511777686800761	-0.224910872835226	1.93460219916426	0.113158172123674	0.0896358543417367	NA
author_annotated::all_fixed::threshold10	delta_ct_state_score	18	6	12	1.76825296330389	-0.126618289263429	1.89487125256732	0.956956439665433	-0.133785775003335	3.92352828013798	0.0651575034026693	0.826424299889199	0.142929999826992	3.64681250530765	0.0357438451693175	0.063887093298858	NA
author_annotated::all_fixed::threshold10	delta_epi_score	19	6	13	1.18794679901817	-0.165930470759807	1.35387726977798	0.764696675430682	-0.259491688363022	2.96724622791898	0.0945768444746323	0.588132304777726	0.113026571330918	2.59472796822504	0.0342503819736928	0.0944641014300457	NA
author_annotated::all_fixed::threshold10	composition_contribution	18	6	12	-0.107675472752604	0.125935601030644	-0.233611073783248	0.138261317345554	-0.526711973101399	0.0594898255349026	0.11048533430842	0.131864430584632	-0.513151178958403	0.0459290313919068	0.0955027017127141	0.109297565179918	NA
author_annotated::all_fixed::threshold10	within_state_contribution	18	6	12	0.690522764329275	-0.265562858733582	0.956085623062858	0.562423496108756	-0.236198926744638	2.14837017287035	0.108496027447061	0.488103146870191	-0.0786468245538294	1.99081807067955	0.0678046058846222	0.108058608058608	NA
