program	model	estimate	se	lower	upper	p	n	df	rank	raw_condition	standardized_condition	max_VIF	max_leverage	exploratory_FDR_within_model
UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	baseline_inflammation_epithelial	0.164496056612196	0.107178706214863	-0.0499680391532252	0.378960152377617	0.130182667889969	65	59	6	202.800095302559	1.70873880519416	1.23888796983338	0.333864076599066	0.143460977010748
UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	baseline_inflammation_barcode	0.158156027667948	0.10472340852589	-0.0516301685076548	0.36794222384355	0.136608082691232	65	56	9	200.757405185009	2.68624115467842	1.9086054435127	0.382421446357764	0.182144110254976
UC_IA13_JAKSTAT_2024_gene_mean_proxy	arm_response	-0.388100949724688	0.197406792831632	-0.782711505864029	0.00650960641465331	0.0537810012266984	65	62	3	3.41990480101429	1.24261094532831	1.04792899408284	0.0709134615384615	0.107562002453397
UC_IA13_JAKSTAT_2024_gene_mean_proxy	no_baseline_inflammation	-0.169267896441879	0.180327297224773	-0.529854612990927	0.191318820107168	0.351601992253113	65	61	4	5.74565101266806	1.43152836572659	1.13399718794043	0.232369393908115	0.468802656337484
UC_IA13_JAKSTAT_2024_gene_mean_proxy	baseline_only	-0.410319996326924	0.17773299388818	-0.765719082737489	-0.0549209099163585	0.0243679206234122	65	61	4	152.948257728066	1.28934828942781	1.0659818439586	0.166131979929192	0.0243679206234122
UC_IA13_JAKSTAT_2024_gene_mean_proxy	primary_baseline_inflammation	-0.230620504269948	0.17060593261886	-0.571883179710166	0.11064217117027	0.181522095089676	65	60	5	160.136039558432	1.64283981633527	1.19339140940403	0.280117028282122	0.181522095089676
UC_IA13_JAKSTAT_2024_gene_mean_proxy	baseline_inflammation_Mayo	-0.22061217061215	0.15888359538031	-0.538537510622197	0.0973131693978963	0.170200557632331	65	59	6	210.929394425678	1.67559928889103	1.19557550217869	0.290215891572793	0.170200557632331
UC_IA13_JAKSTAT_2024_gene_mean_proxy	baseline_inflammation_epithelial	-0.252120795042161	0.170035061900895	-0.592360168018803	0.0881185779344819	0.143460977010748	65	59	6	163.411304723553	1.65345514529721	1.21071438153275	0.304105183034426	0.143460977010748
UC_IA13_JAKSTAT_2024_gene_mean_proxy	baseline_inflammation_barcode	-0.212243575692765	0.178555836785665	-0.569933898529764	0.145446747144234	0.239586772267582	65	56	9	162.745381284467	2.75435627532358	1.93045403212724	0.353815064678262	0.239586772267582
HALLMARK_OXIDATIVE_PHOSPHORYLATION	arm_response	0.0697042468183597	0.0417052332138451	-0.0136633264873511	0.153071820124071	0.0996921111986989	65	62	3	3.41990480101429	1.24261094532831	1.04792899408284	0.0709134615384615	0.132873042642561
HALLMARK_OXIDATIVE_PHOSPHORYLATION	no_baseline_inflammation	0.0453399202463988	0.042247105849933	-0.0391383890089049	0.129818229501703	0.287405223121935	65	61	4	5.74565101266806	1.43152836572659	1.13399718794043	0.232369393908115	0.468802656337484
HALLMARK_OXIDATIVE_PHOSPHORYLATION	baseline_only	0.103053196667176	0.0331683185797126	0.0367290445605565	0.169377348773795	0.00286843663191093	65	61	4	507.496783927983	1.31911663878225	1.07538806632196	0.150562536932955	0.00573687326382186
HALLMARK_OXIDATIVE_PHOSPHORYLATION	primary_baseline_inflammation	0.0864007625311214	0.0342916125781992	0.0178073245775927	0.15499420048465	0.0144297998378983	65	60	5	514.70814965762	1.52612054726742	1.18051650620598	0.250893489589565	0.0288595996757965
HALLMARK_OXIDATIVE_PHOSPHORYLATION	baseline_inflammation_Mayo	0.088311350820025	0.0330442751448422	0.0221899089829186	0.154432792657131	0.0097190429881436	65	59	6	757.724503673188	1.57322799834415	1.18858843445167	0.262569797402727	0.0194380859762872
HALLMARK_OXIDATIVE_PHOSPHORYLATION	baseline_inflammation_epithelial	0.0688280773004117	0.0322087494820462	0.00437851845283449	0.133277636147989	0.0367595492012444	65	59	6	533.515006673811	1.66340377887347	1.21360591268475	0.304834965700842	0.0735190984024889
HALLMARK_OXIDATIVE_PHOSPHORYLATION	baseline_inflammation_barcode	0.0666462216760909	0.0318985408936078	0.00274576568618187	0.130546677666	0.0412347103590141	65	56	9	521.501762723058	2.70280391901972	1.93578467563854	0.30379953143809	0.0824694207180282
