program	gene	mean_delta_remission	mean_delta_nonremission	change_contrast	mean_logCPM
GOBP_INTESTINAL_ABSORPTION	SLC26A6	-0.23882064770349223	-0.31035828957577344	0.0715376418722812	4.777817402283379
GOBP_INTESTINAL_ABSORPTION	SLC2A5	-0.6570499727755446	0.3431116523164612	-1.0001616250920058	0.03206171209702305
GOBP_INTESTINAL_ABSORPTION	SLC46A1	0.9668064258032499	-0.7438156582825667	1.7106220840858166	-0.02082862556335207
GOBP_INTESTINAL_ABSORPTION	SLC5A1	-1.1439935864075448	0.5040552045949545	-1.6480487910024992	4.149902060873923
GOBP_INTESTINAL_ABSORPTION	SOAT2	-0.25791587503202484	-0.3727056323507162	0.11478975731869134	-1.5063897837704014
GOBP_INTESTINAL_ABSORPTION	TJP2	-0.8130939320630831	0.12892095437718643	-0.9420148864402695	2.5926553848285523
GOBP_INTESTINAL_ABSORPTION	UGCG	-0.4627340328262595	0.0995862452707404	-0.5623202780969999	5.534388320513123
GOBP_INTESTINAL_ABSORPTION	VDR	-0.21948383904595567	-0.020062761695056396	-0.19942107735089928	6.209015181079624
GOBP_INTESTINAL_ABSORPTION	VIL1	0.2995132762530937	-0.017911742115187458	0.3174250183682812	6.7758399911682945
GOBP_BRUSH_BORDER_ASSEMBLY	ANKS4B	-0.47561755870887906	0.0014121520030831892	-0.47702971071196226	5.135978843887543
GOBP_BRUSH_BORDER_ASSEMBLY	CALML4	-0.7672987794777689	-0.041036993982353456	-0.7262617854954154	3.0646615959125185
GOBP_BRUSH_BORDER_ASSEMBLY	CDHR2	-1.1597681680169	0.03714302048881257	-1.1969111885057127	5.869745958634044
GOBP_BRUSH_BORDER_ASSEMBLY	CDHR5	-0.6209276726871075	-0.15827846820415128	-0.4626492044829562	8.294698290986274
GOBP_BRUSH_BORDER_ASSEMBLY	MYO7B	-0.8808631450646224	-0.06166658462111032	-0.8191965604435121	6.370324854459047
GOBP_BRUSH_BORDER_ASSEMBLY	TMIGD1	1.2006989337665097	-0.35319986206830745	1.5538987958348172	4.887501032887789
GOBP_BRUSH_BORDER_ASSEMBLY	USH1C	-0.4618977932150093	0.15172299267868766	-0.613620785893697	6.36345403170868
