program	gene	role
COMMON194_INFLAMMATION	CALCRL	context
COMMON194_INFLAMMATION	CCL17	context
COMMON194_INFLAMMATION	CCL20	context
COMMON194_INFLAMMATION	CCL22	context
COMMON194_INFLAMMATION	CCL24	context
COMMON194_INFLAMMATION	CCL5	context
COMMON194_INFLAMMATION	CCL7	context
COMMON194_INFLAMMATION	CCR7	context
COMMON194_INFLAMMATION	CD14	context
COMMON194_INFLAMMATION	CD40	context
COMMON194_INFLAMMATION	CD48	context
COMMON194_INFLAMMATION	CD55	context
COMMON194_INFLAMMATION	CD69	context
COMMON194_INFLAMMATION	CD70	context
COMMON194_INFLAMMATION	CD82	context
COMMON194_INFLAMMATION	CDKN1A	context
COMMON194_INFLAMMATION	CHST2	context
COMMON194_INFLAMMATION	CLEC5A	context
COMMON194_INFLAMMATION	CMKLR1	context
COMMON194_INFLAMMATION	CSF1	context
COMMON194_INFLAMMATION	CSF3	context
COMMON194_INFLAMMATION	CSF3R	context
COMMON194_INFLAMMATION	CX3CL1	context
COMMON194_INFLAMMATION	CXCL10	context
COMMON194_INFLAMMATION	CXCL11	context
COMMON194_INFLAMMATION	CXCL6	context
COMMON194_INFLAMMATION	CXCL8	context
COMMON194_INFLAMMATION	CXCL9	context
COMMON194_INFLAMMATION	CXCR6	context
COMMON194_INFLAMMATION	CYBB	context
COMMON194_INFLAMMATION	DCBLD2	context
COMMON194_INFLAMMATION	EBI3	context
COMMON194_INFLAMMATION	EDN1	context
COMMON194_INFLAMMATION	EIF2AK2	context
COMMON194_INFLAMMATION	EMP3	context
COMMON194_INFLAMMATION	EREG	context
COMMON194_INFLAMMATION	F3	context
COMMON194_INFLAMMATION	FFAR2	context
COMMON194_INFLAMMATION	FPR1	context
COMMON194_INFLAMMATION	FZD5	context
COMMON194_INFLAMMATION	GABBR1	context
COMMON194_INFLAMMATION	GCH1	context
COMMON194_INFLAMMATION	GNA15	context
COMMON194_INFLAMMATION	GNAI3	context
COMMON194_INFLAMMATION	GP1BA	context
COMMON194_INFLAMMATION	GPC3	context
COMMON194_INFLAMMATION	GPR132	context
COMMON194_INFLAMMATION	GPR183	context
COMMON194_INFLAMMATION	HAS2	context
COMMON194_INFLAMMATION	HBEGF	context
COMMON194_INFLAMMATION	HIF1A	context
COMMON194_INFLAMMATION	HPN	context
COMMON194_INFLAMMATION	HRH1	context
COMMON194_INFLAMMATION	ICAM1	context
COMMON194_INFLAMMATION	ICAM4	context
COMMON194_INFLAMMATION	ICOSLG	context
COMMON194_INFLAMMATION	IFITM1	context
COMMON194_INFLAMMATION	IFNAR1	context
COMMON194_INFLAMMATION	IFNGR2	context
COMMON194_INFLAMMATION	IL10	context
COMMON194_INFLAMMATION	IL10RA	context
COMMON194_INFLAMMATION	IL12B	context
COMMON194_INFLAMMATION	IL15	context
COMMON194_INFLAMMATION	IL15RA	context
COMMON194_INFLAMMATION	IL18	context
COMMON194_INFLAMMATION	IL18RAP	context
COMMON194_INFLAMMATION	IL1A	context
COMMON194_INFLAMMATION	IL1B	context
COMMON194_INFLAMMATION	IL1R1	context
COMMON194_INFLAMMATION	IL2RB	context
COMMON194_INFLAMMATION	IL4R	context
COMMON194_INFLAMMATION	IL6	context
COMMON194_INFLAMMATION	IL7R	context
COMMON194_INFLAMMATION	IRAK2	context
COMMON194_INFLAMMATION	IRF1	context
COMMON194_INFLAMMATION	IRF7	context
COMMON194_INFLAMMATION	ITGA5	context
COMMON194_INFLAMMATION	ITGB3	context
COMMON194_INFLAMMATION	ITGB8	context
COMMON194_INFLAMMATION	KCNA3	context
COMMON194_INFLAMMATION	KCNJ2	context
COMMON194_INFLAMMATION	KCNMB2	context
COMMON194_INFLAMMATION	KIF1B	context
COMMON194_INFLAMMATION	KLF6	context
COMMON194_INFLAMMATION	LAMP3	context
COMMON194_INFLAMMATION	LCK	context
COMMON194_INFLAMMATION	LCP2	context
COMMON194_INFLAMMATION	LDLR	context
COMMON194_INFLAMMATION	LIF	context
COMMON194_INFLAMMATION	LPAR1	context
COMMON194_INFLAMMATION	LTA	context
COMMON194_INFLAMMATION	LY6E	context
COMMON194_INFLAMMATION	LYN	context
COMMON194_INFLAMMATION	MARCO	context
COMMON194_INFLAMMATION	MEFV	context
COMMON194_INFLAMMATION	MEP1A	context
COMMON194_INFLAMMATION	MET	context
COMMON194_INFLAMMATION	MMP14	context
COMMON194_INFLAMMATION	MSR1	context
COMMON194_INFLAMMATION	MXD1	context
COMMON194_INFLAMMATION	MYC	context
COMMON194_INFLAMMATION	NAMPT	context
COMMON194_INFLAMMATION	NDP	context
COMMON194_INFLAMMATION	NFKB1	context
COMMON194_INFLAMMATION	NFKBIA	context
COMMON194_INFLAMMATION	NLRP3	context
COMMON194_INFLAMMATION	NMI	context
COMMON194_INFLAMMATION	NMUR1	context
COMMON194_INFLAMMATION	NOD2	context
COMMON194_INFLAMMATION	NPFFR2	context
COMMON194_INFLAMMATION	OLR1	context
COMMON194_INFLAMMATION	OPRK1	context
COMMON194_INFLAMMATION	OSM	context
COMMON194_INFLAMMATION	OSMR	context
COMMON194_INFLAMMATION	P2RX4	context
COMMON194_INFLAMMATION	P2RX7	context
COMMON194_INFLAMMATION	P2RY2	context
COMMON194_INFLAMMATION	PCDH7	context
COMMON194_INFLAMMATION	PDE4B	context
COMMON194_INFLAMMATION	PDPN	context
COMMON194_INFLAMMATION	PIK3R5	context
COMMON194_INFLAMMATION	PLAUR	context
COMMON194_INFLAMMATION	PROK2	context
COMMON194_INFLAMMATION	PSEN1	context
COMMON194_INFLAMMATION	PTAFR	context
COMMON194_INFLAMMATION	PTGER2	context
COMMON194_INFLAMMATION	PTGER4	context
COMMON194_INFLAMMATION	PTGIR	context
COMMON194_INFLAMMATION	PTPRE	context
COMMON194_INFLAMMATION	PVR	context
COMMON194_INFLAMMATION	RASGRP1	context
COMMON194_INFLAMMATION	RELA	context
COMMON194_INFLAMMATION	RGS1	context
COMMON194_INFLAMMATION	RGS16	context
COMMON194_INFLAMMATION	RHOG	context
COMMON194_INFLAMMATION	RIPK2	context
COMMON194_INFLAMMATION	RNF144B	context
COMMON194_INFLAMMATION	RTP4	context
COMMON194_INFLAMMATION	SCARF1	context
