Package	Version	LibPath	Built
ExPosition	2.11.0	/usr/local/lib/R/site-library	4.3.3
fansi	1.0.7	/usr/local/lib/R/site-library	4.3.3
farver	2.1.2	/usr/local/lib/R/site-library	4.3.3
fastcluster	1.3.0	/usr/local/lib/R/site-library	4.3.3
fastDummies	1.7.5	/usr/local/lib/R/site-library	4.3.3
fastICA	1.2-7	/usr/local/lib/R/site-library	4.3.3
fastmap	1.2.0	/usr/local/lib/R/site-library	4.3.3
fastmatch	1.1-8	/usr/local/lib/R/site-library	4.3.3
FDb.InfiniumMethylation.hg19	2.2.0	/usr/local/lib/R/site-library	4.3.3
fdrtool	1.2.18	/usr/local/lib/R/site-library	4.3.3
fgsea	1.28.0	/usr/local/lib/R/site-library	4.3.3
fields	17.1	/usr/local/lib/R/site-library	4.3.3
filelock	1.0.3	/usr/local/lib/R/site-library	4.3.3
findpython	1.0.9	/usr/local/lib/R/site-library	4.3.3
fitdistrplus	1.2-6	/usr/local/lib/R/site-library	4.3.3
flexclust	1.5.0	/usr/local/lib/R/site-library	4.3.3
flexmix	2.3-20	/usr/local/lib/R/site-library	4.3.3
flextable	0.9.11	/usr/local/lib/R/site-library	4.3.3
FME	1.3.6.4	/usr/local/lib/R/site-library	4.3.3
FNN	1.1.4.1	/usr/local/lib/R/site-library	4.3.3
fontawesome	0.5.3	/usr/local/lib/R/site-library	4.3.3
fontBitstreamVera	0.1.1	/usr/local/lib/R/site-library	4.3.3
fontLiberation	0.1.0	/usr/local/lib/R/site-library	4.3.3
fontquiver	0.2.1	/usr/local/lib/R/site-library	4.3.3
forcats	1.0.1	/usr/local/lib/R/site-library	4.3.3
foreach	1.5.2	/usr/local/lib/R/site-library	4.3.3
forecast	9.0.2	/usr/local/lib/R/site-library	4.3.3
forestplot	3.2.0	/usr/local/lib/R/site-library	4.3.3
formatR	1.14	/usr/local/lib/R/site-library	4.3.3
Formula	1.2-5	/usr/local/lib/R/site-library	4.3.3
fpc	2.2-14	/usr/local/lib/R/site-library	4.3.3
fracdiff	1.5-3	/usr/local/lib/R/site-library	4.3.3
fs	2.0.1	/usr/local/lib/R/site-library	4.3.3
furrr	0.4.0	/usr/local/lib/R/site-library	4.3.3
futile.logger	1.4.9	/usr/local/lib/R/site-library	4.3.3
futile.options	1.0.1	/usr/local/lib/R/site-library	4.3.3
future	1.70.0	/usr/local/lib/R/site-library	4.3.3
future.apply	1.20.2	/usr/local/lib/R/site-library	4.3.3
gargle	1.6.1	/usr/local/lib/R/site-library	4.3.3
gdata	3.0.1	/usr/local/lib/R/site-library	4.3.3
gdtools	0.5.0	/usr/local/lib/R/site-library	4.3.3
geepack	1.3.13	/usr/local/lib/R/site-library	4.3.3
genefilter	1.84.0	/usr/local/lib/R/site-library	4.3.3
geneLenDataBase	1.38.0	/usr/local/lib/R/site-library	4.3.3
generics	0.1.4	/usr/local/lib/R/site-library	4.3.3
genetics.binaRies	0.1.2	/usr/local/lib/R/site-library	4.3.3
GenomeInfoDb	1.38.8	/usr/local/lib/R/site-library	4.3.3
GenomeInfoDbData	1.2.11	/usr/local/lib/R/site-library	4.3.3
GenomicAlignments	1.38.2	/usr/local/lib/R/site-library	4.3.3
GenomicFeatures	1.54.4	/usr/local/lib/R/site-library	4.3.3
GenomicRanges	1.54.1	/usr/local/lib/R/site-library	4.3.3
GEOquery	2.70.0	/usr/local/lib/R/site-library	4.3.3
gert	2.3.1	/usr/local/lib/R/site-library	4.3.3
GetoptLong	1.1.1	/usr/local/lib/R/site-library	4.3.3
ggalluvial	0.12.6	/usr/local/lib/R/site-library	4.3.3
ggbeeswarm	0.7.3	/usr/local/lib/R/site-library	4.3.3
ggdist	3.3.3	/usr/local/lib/R/site-library	4.3.3
ggforce	0.5.0	/usr/local/lib/R/site-library	4.3.3
ggfun	0.2.0	/usr/local/lib/R/site-library	4.3.3
gggrid	0.2-0	/usr/local/lib/R/site-library	4.3.3
ggiraph	0.9.6	/usr/local/lib/R/site-library	4.3.3
ggnetwork	0.5.14	/usr/local/lib/R/site-library	4.3.3
ggnewscale	0.5.2	/usr/local/lib/R/site-library	4.3.3
ggplot2	4.0.2	/usr/local/lib/R/site-library	4.3.3
ggplotify	0.1.3	/usr/local/lib/R/site-library	4.3.3
ggpp	0.6.0	/usr/local/lib/R/site-library	4.3.3
ggpubr	0.6.3	/usr/local/lib/R/site-library	4.3.3
ggraph	2.2.2	/usr/local/lib/R/site-library	4.3.3
ggrastr	1.0.2	/usr/local/lib/R/site-library	4.3.3
ggrepel	0.9.8	/usr/local/lib/R/site-library	4.3.3
ggridges	0.5.7	/usr/local/lib/R/site-library	4.3.3
ggsci	4.3.0	/usr/local/lib/R/site-library	4.3.3
ggseg	2.1.1	/usr/local/lib/R/site-library	4.3.3
ggseg.extra	1.9.9.9001	/usr/local/lib/R/site-library	4.3.3
ggseg.formats	0.0.2	/usr/local/lib/R/site-library	4.3.3
ggseg3d	2.1.0	/usr/local/lib/R/site-library	4.3.3
ggsegDefaultExtra	2.0.0	/usr/local/lib/R/site-library	4.3.3
ggsegDKT	2.0.1	/usr/local/lib/R/site-library	4.3.3
ggsignif	0.6.4	/usr/local/lib/R/site-library	4.3.3
ggtangle	0.1.1	/usr/local/lib/R/site-library	4.3.3
ggtext	0.1.2	/usr/local/lib/R/site-library	4.3.3
ggtree	4.1.2	/usr/local/lib/R/site-library	4.3.3
ggVennDiagram	1.5.7	/usr/local/lib/R/site-library	4.3.3
gh	1.5.0	/usr/local/lib/R/site-library	4.3.3
gitcreds	0.1.2	/usr/local/lib/R/site-library	4.3.3
glmnet	4.1-10	/usr/local/lib/R/site-library	4.3.3
GlobalOptions	0.1.4	/usr/local/lib/R/site-library	4.3.3
globals	0.19.1	/usr/local/lib/R/site-library	4.3.3
globaltest	5.56.0	/usr/local/lib/R/site-library	4.3.3
glue	1.8.0	/usr/local/lib/R/site-library	4.3.3
gmodels	2.19.1	/usr/local/lib/R/site-library	4.3.3
gmp	0.7-5.1	/usr/local/lib/R/site-library	4.3.3
GO.db	3.18.0	/usr/local/lib/R/site-library	4.3.3
goftest	1.2-3	/usr/local/lib/R/site-library	4.3.3
googledrive	2.1.2	/usr/local/lib/R/site-library	4.3.3
googlesheets4	1.1.2	/usr/local/lib/R/site-library	4.3.3
GOSemSim	2.37.2	/usr/local/lib/R/site-library	4.3.3
goseq	1.54.0	/usr/local/lib/R/site-library	4.3.3
gower	1.0.2	/usr/local/lib/R/site-library	4.3.3
GPArotation	2025.3-1	/usr/local/lib/R/site-library	4.3.3
gplots	3.3.0	/usr/local/lib/R/site-library	4.3.3
gprofiler2	0.2.4	/usr/local/lib/R/site-library	4.3.3
graph	1.80.0	/usr/local/lib/R/site-library	4.3.3
graphite	1.48.0	/usr/local/lib/R/site-library	4.3.3
graphlayouts	1.2.3	/usr/local/lib/R/site-library	4.3.3
gridBase	0.4-7	/usr/local/lib/R/site-library	4.3.3
gridExtra	2.3	/usr/local/lib/R/site-library	4.3.3
gridGraphics	0.5-1	/usr/local/lib/R/site-library	4.3.3
gridtext	0.1.6	/usr/local/lib/R/site-library	4.3.3
grr	0.9.5	/usr/local/lib/R/site-library	4.3.3
GSEABase	1.64.0	/usr/local/lib/R/site-library	4.3.3
gson	0.1.0	/usr/local/lib/R/site-library	4.3.3
gsubfn	0.7	/usr/local/lib/R/site-library	4.3.3
GSVA	1.50.5	/usr/local/lib/R/site-library	4.3.3
gtable	0.3.6	/usr/local/lib/R/site-library	4.3.3
gtools	3.9.5	/usr/local/lib/R/site-library	4.3.3
Gviz	1.46.1	/usr/local/lib/R/site-library	4.3.3
gwasglue2	0.0.0.9000	/usr/local/lib/R/site-library	4.3.3
gwasvcf	0.1.6	/usr/local/lib/R/site-library	4.3.3
hardhat	1.4.3	/usr/local/lib/R/site-library	4.3.3
harmony	1.2.4	/usr/local/lib/R/site-library	4.3.3
hash	2.2.6.4	/usr/local/lib/R/site-library	4.3.3
haven	2.5.5	/usr/local/lib/R/site-library	4.3.3
HDF5Array	1.30.1	/usr/local/lib/R/site-library	4.3.3
hdf5r	1.3.12	/usr/local/lib/R/site-library	4.3.3
HDO.db	0.99.1	/usr/local/lib/R/site-library	4.3.3
here	1.0.2	/usr/local/lib/R/site-library	4.3.3
hexbin	1.28.5	/usr/local/lib/R/site-library	4.3.3
hgu133a2.db	3.13.0	/usr/local/lib/R/site-library	4.3.3
HiddenMarkov	1.8-14	/usr/local/lib/R/site-library	4.3.3
highr	0.12	/usr/local/lib/R/site-library	4.3.3
Hmisc	5.2-5	/usr/local/lib/R/site-library	4.3.3
hms	1.1.4	/usr/local/lib/R/site-library	4.3.3
homologene	1.4.68.19.3.27	/usr/local/lib/R/site-library	4.3.3
htmlTable	2.4.3	/usr/local/lib/R/site-library	4.3.3
