Package	Version	LibPath
doBy	4.7.1	/usr/local/lib/R/site-library
doParallel	1.0.17	/usr/local/lib/R/site-library
doRNG	1.8.6.3	/usr/local/lib/R/site-library
dorothea	1.7.4	/usr/local/lib/R/site-library
DOSE	3.28.2	/usr/local/lib/R/site-library
dotCall64	1.2	/usr/local/lib/R/site-library
DoubletFinder	2.0.6	/usr/local/lib/R/site-library
downlit	0.4.5	/usr/local/lib/R/site-library
downloader	0.4.1	/usr/local/lib/R/site-library
dplyr	1.2.1	/usr/local/lib/R/site-library
dqrng	0.4.1	/usr/local/lib/R/site-library
DropletUtils	1.22.0	/usr/local/lib/R/site-library
DT	0.34.0	/usr/local/lib/R/site-library
dtplyr	1.3.3	/usr/local/lib/R/site-library
dunn.test	1.3.7	/usr/local/lib/R/site-library
dynamicTreeCut	1.63-1	/usr/local/lib/R/site-library
e1071	1.7-17	/usr/local/lib/R/site-library
edgeR	4.0.16	/usr/local/lib/R/site-library
effectsize	1.0.2	/usr/local/lib/R/site-library
effsize	0.8.1	/usr/local/lib/R/site-library
ellipse	0.5.0	/usr/local/lib/R/site-library
ellipsis	0.3.3	/usr/local/lib/R/site-library
ELMER	2.26.0	/usr/local/lib/R/site-library
ELMER.data	2.26.0	/usr/local/lib/R/site-library
emoa	0.5-3	/usr/local/lib/R/site-library
EnhancedVolcano	1.20.0	/usr/local/lib/R/site-library
enrichit	0.1.4	/usr/local/lib/R/site-library
enrichplot	1.31.5	/usr/local/lib/R/site-library
ensembldb	2.26.0	/usr/local/lib/R/site-library
entropy	1.3.2	/usr/local/lib/R/site-library
EPIC	1.1.7	/usr/local/lib/R/site-library
evaluate	1.0.5	/usr/local/lib/R/site-library
exactRankTests	0.8-36	/usr/local/lib/R/site-library
ExperimentHub	2.10.0	/usr/local/lib/R/site-library
ExPosition	2.11.0	/usr/local/lib/R/site-library
fansi	1.0.7	/usr/local/lib/R/site-library
farver	2.1.2	/usr/local/lib/R/site-library
fastcluster	1.3.0	/usr/local/lib/R/site-library
fastDummies	1.7.5	/usr/local/lib/R/site-library
fastICA	1.2-7	/usr/local/lib/R/site-library
fastmap	1.2.0	/usr/local/lib/R/site-library
fastmatch	1.1-8	/usr/local/lib/R/site-library
FDb.InfiniumMethylation.hg19	2.2.0	/usr/local/lib/R/site-library
fdrtool	1.2.18	/usr/local/lib/R/site-library
fgsea	1.28.0	/usr/local/lib/R/site-library
fields	17.1	/usr/local/lib/R/site-library
filelock	1.0.3	/usr/local/lib/R/site-library
findpython	1.0.9	/usr/local/lib/R/site-library
fitdistrplus	1.2-6	/usr/local/lib/R/site-library
flexclust	1.5.0	/usr/local/lib/R/site-library
flexmix	2.3-20	/usr/local/lib/R/site-library
flextable	0.9.11	/usr/local/lib/R/site-library
FME	1.3.6.4	/usr/local/lib/R/site-library
FNN	1.1.4.1	/usr/local/lib/R/site-library
fontawesome	0.5.3	/usr/local/lib/R/site-library
fontBitstreamVera	0.1.1	/usr/local/lib/R/site-library
fontLiberation	0.1.0	/usr/local/lib/R/site-library
fontquiver	0.2.1	/usr/local/lib/R/site-library
forcats	1.0.1	/usr/local/lib/R/site-library
foreach	1.5.2	/usr/local/lib/R/site-library
forecast	9.0.2	/usr/local/lib/R/site-library
forestplot	3.2.0	/usr/local/lib/R/site-library
formatR	1.14	/usr/local/lib/R/site-library
Formula	1.2-5	/usr/local/lib/R/site-library
fpc	2.2-14	/usr/local/lib/R/site-library
fracdiff	1.5-3	/usr/local/lib/R/site-library
fs	2.0.1	/usr/local/lib/R/site-library
furrr	0.4.0	/usr/local/lib/R/site-library
futile.logger	1.4.9	/usr/local/lib/R/site-library
futile.options	1.0.1	/usr/local/lib/R/site-library
future	1.70.0	/usr/local/lib/R/site-library
future.apply	1.20.2	/usr/local/lib/R/site-library
gargle	1.6.1	/usr/local/lib/R/site-library
gdata	3.0.1	/usr/local/lib/R/site-library
gdtools	0.5.0	/usr/local/lib/R/site-library
geepack	1.3.13	/usr/local/lib/R/site-library
genefilter	1.84.0	/usr/local/lib/R/site-library
geneLenDataBase	1.38.0	/usr/local/lib/R/site-library
generics	0.1.4	/usr/local/lib/R/site-library
genetics.binaRies	0.1.2	/usr/local/lib/R/site-library
GenomeInfoDb	1.38.8	/usr/local/lib/R/site-library
GenomeInfoDbData	1.2.11	/usr/local/lib/R/site-library
GenomicAlignments	1.38.2	/usr/local/lib/R/site-library
GenomicFeatures	1.54.4	/usr/local/lib/R/site-library
GenomicRanges	1.54.1	/usr/local/lib/R/site-library
GEOquery	2.70.0	/usr/local/lib/R/site-library
gert	2.3.1	/usr/local/lib/R/site-library
GetoptLong	1.1.1	/usr/local/lib/R/site-library
ggalluvial	0.12.6	/usr/local/lib/R/site-library
ggbeeswarm	0.7.3	/usr/local/lib/R/site-library
