program	omitted_gene	model	n	remission	estimate	se	lower	upper	p	df	max_leverage	evaluable	reason
GOBP_INTESTINAL_ABSORPTION	SLC26A6	baseline_ANCOVA	16	6	-0.1060067269665097	0.197594531403115	-0.532883759298252	0.3208703053652327	0.6006833238638842	13.0	0.3526328724932739	True	
GOBP_INTESTINAL_ABSORPTION	SLC2A5	baseline_ANCOVA	16	6	-0.08561059174903352	0.19547834325517874	-0.5079158775347963	0.3366946940367293	0.6686081722460371	13.0	0.3349166126586822	True	
GOBP_INTESTINAL_ABSORPTION	SLC46A1	baseline_ANCOVA	16	6	-0.1349285243499686	0.2034679979038803	-0.5744944096147485	0.3046373609148113	0.5188249229606551	13.0	0.33408404009824766	True	
GOBP_INTESTINAL_ABSORPTION	SLC5A1	baseline_ANCOVA	16	6	-0.0652833968179608	0.2018834542199258	-0.5014260835731293	0.37085928993720774	0.7515566422213857	13.0	0.35830300403767346	True	
GOBP_INTESTINAL_ABSORPTION	SOAT2	baseline_ANCOVA	16	6	-0.10306912703093285	0.19060299751036516	-0.5148418686801812	0.30870361461831547	0.5978217848643977	13.0	0.34796544640663407	True	
GOBP_INTESTINAL_ABSORPTION	TJP2	baseline_ANCOVA	16	6	-0.09581445355530027	0.1946969887768209	-0.516431725616432	0.3248028185058315	0.6308397068083985	13.0	0.3601863414290051	True	
GOBP_INTESTINAL_ABSORPTION	UGCG	baseline_ANCOVA	16	6	-0.0938004976603265	0.19444197802515478	-0.5138668524864978	0.3262658571658447	0.6375368760310635	13.0	0.3722868635366734	True	
GOBP_INTESTINAL_ABSORPTION	VDR	baseline_ANCOVA	16	6	-0.10024453955646462	0.1972372426394755	-0.5263496964419339	0.3258606173290047	0.6197969344424219	13.0	0.35159337624038345	True	
GOBP_INTESTINAL_ABSORPTION	VIL1	baseline_ANCOVA	16	6	-0.11521728175517887	0.19768376650106345	-0.5422870947955855	0.3118525312852277	0.569975852511149	13.0	0.35696447960699007	True	
GOBP_BRUSH_BORDER_ASSEMBLY	ANKS4B	baseline_ANCOVA	16	6	-0.512511887505783	0.4288658281132856	-1.4390201803896843	0.4139964053781182	0.25341796410890943	13.0	0.5703341989517448	True	
GOBP_BRUSH_BORDER_ASSEMBLY	CALML4	baseline_ANCOVA	16	6	-0.4697027155863567	0.41894937961068707	-1.3747878239418165	0.4353823927691033	0.28250999484481465	13.0	0.5165970769216361	True	
GOBP_BRUSH_BORDER_ASSEMBLY	CDHR2	baseline_ANCOVA	16	6	-0.3713762581927704	0.36477705746046585	-1.1594291797270875	0.4166766633415466	0.32720861809746704	13.0	0.5236952644277069	True	
GOBP_BRUSH_BORDER_ASSEMBLY	CDHR5	baseline_ANCOVA	16	6	-0.4592338018382842	0.4023713028145942	-1.3285041526990322	0.41003654902246367	0.274325946375739	13.0	0.5683955435659294	True	
GOBP_BRUSH_BORDER_ASSEMBLY	MYO7B	baseline_ANCOVA	16	6	-0.4689661531637581	0.4203464116773961	-1.3770693658082096	0.4391370594806935	0.28476410350117026	13.0	0.5515468895709694	True	
GOBP_BRUSH_BORDER_ASSEMBLY	TMIGD1	baseline_ANCOVA	16	6	-0.6398350822482319	0.3627161530370797	-1.4234356904623	0.14376552596583614	0.10120002794460373	13.0	0.553939441543774	True	
GOBP_BRUSH_BORDER_ASSEMBLY	USH1C	baseline_ANCOVA	16	6	-0.5675031374488828	0.4605839821170444	-1.5625343360833641	0.4275280611855986	0.23971865035885576	13.0	0.5605852253536994	True	
