context	program	outcome	visit	n	mean	se	lower	upper	control_mean	control_sd
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	Yes	baseline	6	7.56552707139605	0.0821500567853964	7.3543536276270185	7.776700515165082	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	Yes	post	6	7.348416247278494	0.07091939675226012	7.166112134192849	7.530720360364139	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	Yes	delta	6	-0.21711082411755514	0.09406797276604177	-0.45892024622507366	0.024698597989963378	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W12	CANDIDATE6	No	baseline	10	9.186411828466671	0.5803392855344441	7.873593156841736	10.499230500091606	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W12	CANDIDATE6	No	post	10	8.794476757249992	0.7028936486224783	7.2044208553332885	10.384532659166696	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W12	CANDIDATE6	No	delta	10	-0.39193507121667714	0.6138646757981712	-1.780593444562308	0.9967233021289537	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W12	CANDIDATE6	Yes	baseline	3	9.120096621444445	1.0195727598892135	4.733229102928927	13.506964139959962	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W12	CANDIDATE6	Yes	post	3	10.477861976388876	0.5716377965947692	8.018303050442425	12.937420902335328	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W12	CANDIDATE6	Yes	delta	3	1.3577653549444333	1.0387218743021607	-3.1114941529722353	5.827024862861102	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W12	COMMON194_INFLAMMATION	No	baseline	10	7.935834158341581	0.12445082421865813	7.654306834919203	8.217361481763959	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W12	COMMON194_INFLAMMATION	No	post	10	7.877795979954209	0.1463891637125203	7.546640684705892	8.208951275202526	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W12	COMMON194_INFLAMMATION	No	delta	10	-0.0580381783873718	0.08762810677645931	-0.25626672779418513	0.14019037101944154	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W12	COMMON194_INFLAMMATION	Yes	baseline	3	7.653212034322163	0.11492913244448111	7.158711888882179	8.147712179762147	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W12	COMMON194_INFLAMMATION	Yes	post	3	7.455510801939294	0.045703463667487766	7.2588646692313725	7.652156934647215	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W12	COMMON194_INFLAMMATION	Yes	delta	3	-0.19770123238287005	0.08327077555702696	-0.5559864621416668	0.16058399737592674	7.185616434276983	0.08601355590083362
